ID_Vente,CleDate,ID_Pharmacie,ID_Produit,UnitesVendues,RevenuEUR,CoutEUR,MargeEUR,Promo
V0000159,20230322,PH0040,PR0100,16,106.56,270.24,-163.68,Oui
V0000160,20231211,PH0013,PR0114,4,33.96,30.96,3.0,Oui
V0000161,20210315,PH0043,PR0048,20,949.0,143.6,805.4,Non
V0000162,20210511,PH0011,PR0037,15,595.05,350.1,244.95,Non
V0000163,20210914,PH0014,PR0095,17,300.56,475.83,-175.27,Non
V0000164,20200115,PH0043,PR0024,1,16.15,6.46,9.69,Non
V0000165,20200109,PH0011,PR0027,16,724.16,190.88,533.28,Oui
V0000166,20220214,PH0012,PR0144,19,886.16,116.85,769.31,Oui
V0000167,20230207,PH0070,PR0052,1,46.77,14.72,32.05,Oui
V0000168,20220916,PH0047,PR0094,3,39.54,73.86,-34.32,Non
V0000169,20210518,PH0001,PR0001,13,369.07,347.62,21.45,Oui
V0000170,20231208,PH0070,PR0128,20,941.4,403.0,538.4,Oui
V0000171,20210304,PH0014,PR0036,14,461.72,237.72,224.0,Non
V0000172,20200416,PH0067,PR0070,6,130.86,149.52,-18.66,Oui
V0000173,20220818,PH0013,PR0088,16,642.24,413.28,228.96,Non
V0000174,20220322,PH0040,PR0029,10,401.0,131.3,269.7,Oui
V0000175,20210831,PH0077,PR0002,10,203.9,179.1,24.8,Non
V0000176,20230716,PH0055,PR0112,3,129.18,13.86,115.32,Non
V0000177,20200423,PH0057,PR0011,19,887.49,411.54,475.95,Oui
V0000178,20230608,PH0062,PR0071,3,101.4,14.49,86.91,Non
V0000179,20210331,PH0046,PR0070,6,130.86,149.52,-18.66,Non
V0000180,20220919,PH0002,PR0030,18,639.18,228.78,410.4,Oui
V0000181,20230417,PH0062,PR0088,10,401.4,258.3,143.1,Oui
V0000182,20230104,PH0060,PR0102,9,240.3,269.37,-29.07,Non
V0000183,20220714,PH0080,PR0075,2,54.96,22.5,32.46,Oui
V0000184,20231222,PH0017,PR0111,12,483.72,40.56,443.16,Oui
V0000185,20200809,PH0008,PR0055,14,97.16,261.52,-164.36,Oui
V0000186,20220708,PH0071,PR0102,8,213.6,239.44,-25.84,Oui
V0000187,20210623,PH0069,PR0145,8,88.8,124.88,-36.08,Non
V0000188,20220328,PH0047,PR0015,16,141.28,139.52,1.76,Non
V0000189,20230402,PH0050,PR0126,18,171.36,120.06,51.3,Oui
V0000190,20220121,PH0005,PR0023,3,147.09,26.76,120.33,Oui
V0000191,20230302,PH0015,PR0149,12,230.4,222.96,7.44,Non
V0000192,20220312,PH0060,PR0096,20,885.6,330.2,555.4,Oui
V0000193,20200324,PH0075,PR0016,6,141.3,78.84,62.46,Oui
V0000194,20220615,PH0011,PR0073,13,461.63,143.0,318.63,Oui
V0000195,20211124,PH0023,PR0111,15,604.65,50.7,553.95,Non
V0000196,20230415,PH0034,PR0048,18,854.1,129.24,724.86,Non
V0000197,20210430,PH0005,PR0061,2,61.96,48.48,13.48,Oui
V0000198,20201005,PH0054,PR0030,10,355.1,127.1,228.0,Non
V0000199,20220504,PH0028,PR0107,16,188.0,388.0,-200.0,Non
V0000200,20210801,PH0042,PR0143,18,282.6,245.52,37.08,Non
V0000201,20210314,PH0012,PR0113,1,20.65,15.39,5.26,Non
V0000202,20220828,PH0043,PR0026,7,268.59,113.19,155.4,Non
V0000203,20220527,PH0027,PR0048,4,189.8,28.72,161.08,Oui
V0000204,20200222,PH0071,PR0076,15,253.95,209.4,44.55,Oui
V0000205,20200716,PH0025,PR0128,6,282.42,120.9,161.52,Non
V0000206,20200526,PH0008,PR0053,14,659.82,408.8,251.02,Oui
V0000207,20211109,PH0016,PR0011,7,326.97,151.62,175.35,Non
V0000208,20230225,PH0021,PR0063,3,109.29,18.69,90.6,Oui
V0000209,20200120,PH0049,PR0045,4,187.68,63.04,124.64,Non
V0000210,20220716,PH0071,PR0132,1,5.05,21.11,-16.06,Oui
V0000211,20221108,PH0024,PR0053,15,706.95,438.0,268.95,Oui
V0000212,20210412,PH0043,PR0101,15,190.35,347.4,-157.05,Non
V0000213,20200117,PH0069,PR0142,4,119.8,75.08,44.72,Oui
V0000214,20220423,PH0043,PR0148,8,99.76,137.84,-38.08,Oui
V0000215,20220926,PH0073,PR0097,11,357.72,315.59,42.13,Non
V0000216,20230120,PH0022,PR0115,16,650.88,279.52,371.36,Non
V0000217,20210323,PH0001,PR0086,8,278.48,100.64,177.84,Oui
V0000218,20210121,PH0062,PR0070,9,196.29,224.28,-27.99,Oui
V0000219,20230604,PH0031,PR0026,5,191.85,80.85,111.0,Non
V0000220,20210925,PH0075,PR0025,5,145.2,54.4,90.8,Non
V0000221,20221223,PH0050,PR0025,4,116.16,43.52,72.64,Non
V0000222,20210320,PH0071,PR0120,20,326.2,70.6,255.6,Oui
V0000223,20200111,PH0038,PR0019,1,22.96,24.63,-1.67,Oui
V0000224,20221108,PH0004,PR0062,20,938.0,454.4,483.6,Oui
V0000225,20231116,PH0056,PR0075,20,549.6,225.0,324.6,Non
V0000226,20210519,PH0027,PR0125,12,512.16,176.4,335.76,Non
V0000227,20230501,PH0024,PR0068,18,312.3,354.78,-42.48,Non
V0000228,20220905,PH0003,PR0084,14,151.2,290.5,-139.3,Oui
V0000229,20210725,PH0045,PR0068,18,312.3,354.78,-42.48,Non
V0000230,20221111,PH0044,PR0077,4,149.16,40.04,109.12,Non
V0000231,20230404,PH0067,PR0135,17,710.43,392.53,317.9,Non
V0000232,20220908,PH0069,PR0062,20,938.0,454.4,483.6,Non
V0000233,20221127,PH0039,PR0094,1,13.18,24.62,-11.44,Non
V0000234,20220805,PH0068,PR0138,3,81.51,89.94,-8.43,Oui
V0000235,20200822,PH0044,PR0129,4,145.64,65.76,79.88,Non
V0000236,20231022,PH0062,PR0103,11,240.9,270.16,-29.26,Oui
V0000237,20220617,PH0016,PR0035,3,134.49,84.36,50.13,Oui
V0000238,20200401,PH0040,PR0077,12,447.48,120.12,327.36,Oui
V0000239,20211202,PH0021,PR0051,18,532.26,449.46,82.8,Non
V0000240,20220213,PH0078,PR0132,13,65.65,274.43,-208.78,Non
V0000241,20230520,PH0028,PR0128,18,847.26,362.7,484.56,Oui
V0000242,20221009,PH0069,PR0082,9,252.9,233.37,19.53,Oui
V0000243,20210523,PH0075,PR0065,9,130.5,226.17,-95.67,Oui
V0000244,20210602,PH0038,PR0107,4,47.0,97.0,-50.0,Non
V0000245,20210604,PH0061,PR0005,18,759.6,278.1,481.5,Non
V0000246,20220612,PH0017,PR0022,17,819.74,187.0,632.74,Non
V0000247,20230918,PH0071,PR0133,5,229.1,98.15,130.95,Oui
V0000248,20200930,PH0048,PR0143,16,251.2,218.24,32.96,Oui
V0000249,20200123,PH0055,PR0066,4,152.08,96.56,55.52,Oui
V0000250,20211124,PH0050,PR0135,5,208.95,115.45,93.5,Oui
V0000251,20201225,PH0020,PR0014,19,827.83,247.0,580.83,Non
V0000252,20200901,PH0029,PR0062,2,93.8,45.44,48.36,Oui
V0000253,20201124,PH0025,PR0104,8,117.2,106.88,10.32,Non
V0000254,20230515,PH0057,PR0025,14,406.56,152.32,254.24,Oui
V0000255,20200218,PH0022,PR0020,19,578.74,148.58,430.16,Non
V0000256,20230324,PH0043,PR0072,19,735.49,213.18,522.31,Non
V0000257,20210123,PH0080,PR0043,16,320.32,397.92,-77.6,Non
V0000258,20200414,PH0059,PR0043,18,360.36,447.66,-87.3,Oui
V0000259,20210316,PH0026,PR0063,15,546.45,93.45,453.0,Non
V0000260,20210520,PH0006,PR0079,11,384.89,279.4,105.49,Non
V0000261,20210207,PH0015,PR0117,18,769.86,288.54,481.32,Oui
V0000262,20200508,PH0007,PR0127,19,163.97,256.31,-92.34,Non
V0000263,20210822,PH0054,PR0023,13,637.39,115.96,521.43,Non
V0000264,20220225,PH0020,PR0114,14,118.86,108.36,10.5,Non
V0000265,20200710,PH0077,PR0102,4,106.8,119.72,-12.92,Oui
V0000266,20231113,PH0073,PR0021,10,198.5,98.0,100.5,Non
V0000267,20230210,PH0065,PR0017,14,532.42,336.42,196.0,Non
V0000268,20230417,PH0073,PR0060,5,32.9,130.9,-98.0,Non
V0000269,20230915,PH0038,PR0094,15,197.7,369.3,-171.6,Non
V0000270,20231206,PH0010,PR0088,3,120.42,77.49,42.93,Non
V0000271,20200629,PH0039,PR0075,12,329.76,135.0,194.76,Non
V0000272,20220912,PH0076,PR0024,2,32.3,12.92,19.38,Oui
V0000273,20220124,PH0006,PR0068,17,294.95,335.07,-40.12,Oui
V0000274,20211213,PH0065,PR0072,17,658.07,190.74,467.33,Oui
V0000275,20200524,PH0047,PR0128,20,941.4,403.0,538.4,Non
V0000276,20210722,PH0056,PR0055,10,69.4,186.8,-117.4,Oui
V0000277,20211209,PH0020,PR0096,2,88.56,33.02,55.54,Non
V0000278,20231015,PH0077,PR0045,13,609.96,204.88,405.08,Oui
V0000279,20230715,PH0007,PR0066,19,722.38,458.66,263.72,Oui
V0000280,20221015,PH0078,PR0028,14,193.62,237.86,-44.24,Non
V0000281,20231211,PH0059,PR0097,17,552.84,487.73,65.11,Oui
V0000282,20200803,PH0042,PR0042,1,14.87,12.52,2.35,Oui
V0000283,20211228,PH0003,PR0101,14,177.66,324.24,-146.58,Non
V0000284,20221007,PH0067,PR0082,16,449.6,414.88,34.72,Non
V0000285,20230618,PH0007,PR0028,11,152.13,186.89,-34.76,Non
V0000286,20230228,PH0005,PR0120,11,179.41,38.83,140.58,Oui
V0000287,20221022,PH0071,PR0011,7,326.97,151.62,175.35,Non
V0000288,20201107,PH0021,PR0033,14,474.46,371.14,103.32,Oui
V0000289,20201022,PH0078,PR0006,11,294.91,59.84,235.07,Oui
V0000290,20220523,PH0074,PR0105,16,140.8,366.4,-225.6,Oui
V0000291,20220705,PH0046,PR0106,8,392.8,28.4,364.4,Oui
V0000292,20200108,PH0001,PR0085,8,350.72,222.0,128.72,Non
V0000293,20220621,PH0039,PR0109,8,70.56,97.84,-27.28,Oui
V0000294,20230402,PH0017,PR0012,12,581.88,332.04,249.84,Non
V0000295,20230127,PH0047,PR0139,4,75.28,112.52,-37.24,Non
V0000296,20220808,PH0071,PR0098,19,786.41,332.12,454.29,Oui
V0000297,20211111,PH0063,PR0086,5,174.05,62.9,111.15,Oui
V0000298,20220215,PH0061,PR0134,16,145.76,295.04,-149.28,Oui
V0000299,20211228,PH0013,PR0095,16,282.88,447.84,-164.96,Oui
V0000300,20231224,PH0065,PR0120,5,81.55,17.65,63.9,Non
V0000301,20231024,PH0070,PR0128,13,611.91,261.95,349.96,Oui
V0000302,20210118,PH0002,PR0127,19,163.97,256.31,-92.34,Oui
V0000303,20200428,PH0028,PR0150,14,434.98,53.62,381.36,Non
V0000304,20220610,PH0023,PR0002,3,61.17,53.73,7.44,Non
V0000305,20220828,PH0036,PR0022,16,771.52,176.0,595.52,Non
V0000306,20211215,PH0008,PR0020,11,335.06,86.02,249.04,Non
V0000307,20210802,PH0022,PR0108,13,205.01,88.01,117.0,Oui
V0000308,20200409,PH0031,PR0036,20,659.6,339.6,320.0,Non
V0000309,20220129,PH0038,PR0031,20,179.6,326.2,-146.6,Non
V0000310,20220123,PH0062,PR0103,8,175.2,196.48,-21.28,Oui
V0000311,20231006,PH0058,PR0093,4,79.28,83.12,-3.84,Non
V0000312,20200521,PH0059,PR0069,11,499.73,110.77,388.96,Oui
V0000313,20210902,PH0077,PR0013,11,155.54,54.89,100.65,Non
V0000314,20220220,PH0068,PR0150,2,62.14,7.66,54.48,Oui
V0000315,20211201,PH0044,PR0098,11,455.29,192.28,263.01,Oui
V0000316,20230403,PH0067,PR0081,19,396.34,368.98,27.36,Oui
V0000317,20220321,PH0074,PR0049,11,57.86,280.94,-223.08,Non
V0000318,20230226,PH0020,PR0059,8,287.36,52.0,235.36,Oui
V0000319,20221123,PH0076,PR0123,10,241.4,270.5,-29.1,Oui
V0000320,20221023,PH0041,PR0091,5,58.9,63.9,-5.0,Oui
V0000321,20231022,PH0066,PR0136,1,7.9,29.55,-21.65,Oui
V0000322,20200414,PH0001,PR0030,11,390.61,139.81,250.8,Oui
V0000323,20230628,PH0046,PR0109,8,70.56,97.84,-27.28,Oui
V0000324,20230424,PH0057,PR0034,12,424.44,277.32,147.12,Oui
V0000325,20230427,PH0015,PR0135,11,459.69,253.99,205.7,Non
V0000326,20230804,PH0053,PR0085,13,569.92,360.75,209.17,Non
V0000327,20221119,PH0079,PR0117,7,299.39,112.21,187.18,Oui
V0000328,20200110,PH0003,PR0083,5,247.35,50.15,197.2,Oui
V0000329,20201018,PH0058,PR0110,2,25.82,18.42,7.4,Oui
V0000330,20210724,PH0005,PR0008,8,293.12,138.88,154.24,Non
V0000331,20231105,PH0054,PR0058,15,659.1,135.0,524.1,Non
V0000332,20220928,PH0017,PR0115,10,406.8,174.7,232.1,Oui
V0000333,20231018,PH0050,PR0058,11,483.34,99.0,384.34,Oui
V0000334,20230422,PH0019,PR0051,3,88.71,74.91,13.8,Oui
V0000335,20220716,PH0046,PR0115,13,528.84,227.11,301.73,Oui
V0000336,20210401,PH0017,PR0067,10,378.6,68.8,309.8,Non
V0000337,20220127,PH0034,PR0094,10,131.8,246.2,-114.4,Oui
V0000338,20201013,PH0033,PR0111,12,483.72,40.56,443.16,Non
V0000339,20221102,PH0066,PR0041,5,238.6,78.8,159.8,Non
V0000340,20220321,PH0012,PR0014,1,43.57,13.0,30.57,Non
V0000341,20221106,PH0015,PR0018,19,743.47,233.13,510.34,Non
V0000342,20211209,PH0064,PR0145,17,188.7,265.37,-76.67,Non
V0000343,20221222,PH0069,PR0135,18,752.22,415.62,336.6,Oui
V0000344,20221102,PH0057,PR0009,14,562.66,313.32,249.34,Non
V0000345,20220725,PH0051,PR0077,16,596.64,160.16,436.48,Non
V0000346,20221203,PH0037,PR0149,15,288.0,278.7,9.3,Oui
V0000347,20201122,PH0037,PR0005,2,84.4,30.9,53.5,Oui
V0000348,20220830,PH0006,PR0145,12,133.2,187.32,-54.12,Oui
V0000349,20231109,PH0072,PR0120,12,195.72,42.36,153.36,Oui
V0000350,20230605,PH0011,PR0027,4,181.04,47.72,133.32,Non
V0000351,20201003,PH0036,PR0094,2,26.36,49.24,-22.88,Oui
V0000352,20210216,PH0069,PR0114,12,101.88,92.88,9.0,Non
V0000353,20220507,PH0063,PR0143,3,47.1,40.92,6.18,Oui
V0000354,20200707,PH0001,PR0133,5,229.1,98.15,130.95,Oui
V0000355,20220126,PH0017,PR0146,3,149.28,41.58,107.7,Oui
V0000356,20200516,PH0010,PR0043,14,280.28,348.18,-67.9,Oui
V0000357,20221209,PH0060,PR0137,5,32.05,82.6,-50.55,Oui
V0000358,20220404,PH0038,PR0014,16,697.12,208.0,489.12,Oui
V0000359,20220119,PH0001,PR0089,9,50.58,167.85,-117.27,Non
V0000360,20201119,PH0015,PR0020,5,152.3,39.1,113.2,Oui
V0000361,20220518,PH0035,PR0097,11,357.72,315.59,42.13,Oui
V0000362,20220511,PH0059,PR0136,12,94.8,354.6,-259.8,Oui
V0000363,20210709,PH0005,PR0102,19,507.3,568.67,-61.37,Non
V0000364,20201125,PH0027,PR0052,11,514.47,161.92,352.55,Non
V0000365,20230623,PH0027,PR0066,11,418.22,265.54,152.68,Non
V0000366,20230427,PH0035,PR0019,19,436.24,467.97,-31.73,Oui
V0000367,20220304,PH0060,PR0014,6,261.42,78.0,183.42,Oui
V0000368,20210222,PH0006,PR0089,11,61.82,205.15,-143.33,Non
V0000369,20221122,PH0043,PR0009,16,643.04,358.08,284.96,Non
V0000370,20220806,PH0036,PR0128,2,94.14,40.3,53.84,Oui
V0000371,20230223,PH0048,PR0006,15,402.15,81.6,320.55,Non
V0000372,20231121,PH0018,PR0130,12,426.0,118.68,307.32,Non
V0000373,20200126,PH0020,PR0026,15,575.55,242.55,333.0,Non
V0000374,20210616,PH0040,PR0123,18,434.52,486.9,-52.38,Non
V0000375,20230815,PH0032,PR0036,11,362.78,186.78,176.0,Non
V0000376,20220929,PH0040,PR0095,15,265.2,419.85,-154.65,Non
